direction,chrf++
ace_Arab-eng_Latn,30.6
ace_Latn-eng_Latn,43.9
acm_Arab-eng_Latn,58.2
acq_Arab-eng_Latn,59.5
aeb_Arab-eng_Latn,54.6
afr_Latn-eng_Latn,72.9
afr_Latn-nso_Latn,46.3
afr_Latn-ssw_Latn,39.9
afr_Latn-tso_Latn,46.8
ajp_Arab-eng_Latn,62.5
aka_Latn-eng_Latn,40.8
als_Latn-eng_Latn,62.7
amh_Ethi-eng_Latn,54.9
amh_Ethi-tir_Ethi,20.9
apc_Arab-eng_Latn,59.7
arb_Arab-eng_Latn,62.2
ars_Arab-eng_Latn,61.6
ary_Arab-eng_Latn,50.6
arz_Arab-eng_Latn,55.6
asm_Beng-awa_Deva,26.1
asm_Beng-bho_Deva,32.8
asm_Beng-eng_Latn,52.7
asm_Beng-guj_Gujr,39.9
asm_Beng-mar_Deva,37.1
asm_Beng-npi_Deva,38.7
asm_Beng-pan_Guru,36.8
asm_Beng-san_Deva,19
asm_Beng-tam_Taml,41.7
ast_Latn-eng_Latn,60.4
ast_Latn-glg_Latn,51
awa_Deva-bho_Deva,40.2
awa_Deva-eng_Latn,60.2
awa_Deva-kan_Knda,44.8
awa_Deva-mai_Deva,42.8
awa_Deva-tam_Taml,44.9
awa_Deva-tel_Telu,45.2
ayr_Latn-eng_Latn,29.7
azb_Arab-eng_Latn,38.4
azj_Latn-eng_Latn,50.4
bak_Cyrl-eng_Latn,53.3
bak_Cyrl-tat_Cyrl,48.3
bam_Latn-eng_Latn,35.3
ban_Latn-ace_Latn,32.2
ban_Latn-eng_Latn,55
bel_Cyrl-eng_Latn,49.7
bem_Latn-eng_Latn,46
ben_Beng-eng_Latn,57.9
ben_Beng-guj_Gujr,43.3
ben_Beng-hne_Deva,41.1
ben_Beng-kan_Knda,42.9
ben_Beng-mal_Mlym,41.7
ben_Beng-mar_Deva,39.7
ben_Beng-npi_Deva,41.6
ben_Beng-ory_Orya,39.9
ben_Beng-pan_Guru,40.2
ben_Beng-sin_Sinh,37.2
ben_Beng-tam_Taml,44.6
ben_Beng-urd_Arab,40.6
bho_Deva-eng_Latn,54.7
bho_Deva-guj_Gujr,41.8
bho_Deva-kan_Knda,42.2
bho_Deva-mag_Deva,45.6
bho_Deva-snd_Arab,38
bjn_Arab-eng_Latn,33
bjn_Latn-eng_Latn,56.4
bod_Tibt-eng_Latn,32.7
bos_Latn-eng_Latn,63.4
bos_Latn-slk_Latn,47.8
bos_Latn-srp_Cyrl,51.2
bug_Latn-eng_Latn,40.6
bul_Cyrl-bel_Cyrl,37.5
bul_Cyrl-eng_Latn,63.4
cat_Latn-ast_Latn,50.9
cat_Latn-eng_Latn,66.6
cat_Latn-glg_Latn,55.5
ceb_Latn-eng_Latn,62.5
ces_Latn-eng_Latn,61.5
cjk_Latn-eng_Latn,28.2
ckb_Arab-eng_Latn,54.5
crh_Latn-eng_Latn,54.8
crh_Latn-hun_Latn,41.1
crh_Latn-hye_Armn,40.9
crh_Latn-ukr_Cyrl,41.5
cym_Latn-eng_Latn,68.2
cym_Latn-gla_Latn,41.9
dan_Latn-eng_Latn,67.7
deu_Latn-eng_Latn,65.3
dik_Latn-eng_Latn,28.1
dyu_Latn-eng_Latn,25.4
dzo_Tibt-eng_Latn,36.3
ell_Grek-eng_Latn,58.4
eng_Latn-ace_Arab,14.4
eng_Latn-ace_Latn,36.1
eng_Latn-acm_Arab,39.3
eng_Latn-acq_Arab,44.2
eng_Latn-aeb_Arab,29.7
eng_Latn-afr_Latn,62.4
eng_Latn-ajp_Arab,46.2
eng_Latn-aka_Latn,33
eng_Latn-als_Latn,54.7
eng_Latn-amh_Ethi,37.2
eng_Latn-apc_Arab,43.8
eng_Latn-arb_Arab,51.4
eng_Latn-ars_Arab,48.1
eng_Latn-ary_Arab,32.4
eng_Latn-arz_Arab,40.9
eng_Latn-asm_Beng,34.6
eng_Latn-ast_Latn,52.3
eng_Latn-awa_Deva,43.8
eng_Latn-ayr_Latn,27.2
eng_Latn-azb_Arab,22.3
eng_Latn-azj_Latn,40.1
eng_Latn-bak_Cyrl,45.4
eng_Latn-bam_Latn,28.5
eng_Latn-ban_Latn,43.4
eng_Latn-bel_Cyrl,38.3
eng_Latn-bem_Latn,35.2
eng_Latn-ben_Beng,46.2
eng_Latn-bho_Deva,40.5
eng_Latn-bjn_Arab,14.8
eng_Latn-bjn_Latn,45.9
eng_Latn-bod_Tibt,24.4
eng_Latn-bos_Latn,53.8
eng_Latn-bug_Latn,31.5
eng_Latn-bul_Cyrl,60.4
eng_Latn-cat_Latn,61.2
eng_Latn-ceb_Latn,55.2
eng_Latn-ces_Latn,52.7
eng_Latn-cjk_Latn,20.2
eng_Latn-ckb_Arab,40.5
eng_Latn-crh_Latn,41.4
eng_Latn-cym_Latn,56.7
eng_Latn-dan_Latn,63.2
eng_Latn-deu_Latn,59.4
eng_Latn-dik_Latn,19.5
eng_Latn-dyu_Latn,17.3
eng_Latn-dzo_Tibt,30.1
eng_Latn-ell_Grek,48.5
eng_Latn-epo_Latn,59.5
eng_Latn-est_Latn,49.4
eng_Latn-eus_Latn,48.4
eng_Latn-ewe_Latn,35.6
eng_Latn-fao_Latn,44.2
eng_Latn-fij_Latn,44.4
eng_Latn-fin_Latn,48.8
eng_Latn-fon_Latn,17.3
eng_Latn-fra_Latn,67
eng_Latn-fur_Latn,52.7
eng_Latn-fuv_Latn,17.8
eng_Latn-gaz_Latn,31.6
eng_Latn-gla_Latn,44.6
eng_Latn-gle_Latn,47.7
eng_Latn-glg_Latn,57.1
eng_Latn-grn_Latn,34
eng_Latn-guj_Gujr,50.4
eng_Latn-hat_Latn,50.2
eng_Latn-hau_Latn,49
eng_Latn-heb_Hebr,50.8
eng_Latn-hin_Deva,54.2
eng_Latn-hne_Deva,50.8
eng_Latn-hrv_Latn,52.2
eng_Latn-hun_Latn,50.6
eng_Latn-hye_Armn,48.5
eng_Latn-ibo_Latn,40
eng_Latn-ilo_Latn,50.8
eng_Latn-ind_Latn,66.6
eng_Latn-isl_Latn,44.2
eng_Latn-ita_Latn,54.6
eng_Latn-jav_Latn,52.9
eng_Latn-jpn_Jpan,23.6
eng_Latn-kab_Latn,27.5
eng_Latn-kac_Latn,36.4
eng_Latn-kam_Latn,27
eng_Latn-kan_Knda,50.2
eng_Latn-kas_Arab,31.1
eng_Latn-kas_Deva,14.8
eng_Latn-kat_Geor,46.6
eng_Latn-kaz_Cyrl,47.9
eng_Latn-kbp_Latn,24.4
eng_Latn-kea_Latn,44.4
eng_Latn-khk_Cyrl,37.3
eng_Latn-khm_Khmr,31.2
eng_Latn-kik_Latn,34.9
eng_Latn-kin_Latn,44
eng_Latn-kir_Cyrl,42.6
eng_Latn-kmb_Latn,25.6
eng_Latn-kmr_Latn,36.1
eng_Latn-knc_Arab,10.5
eng_Latn-knc_Latn,15.3
eng_Latn-kon_Latn,45.2
eng_Latn-kor_Hang,32.1
eng_Latn-lao_Laoo,42.5
eng_Latn-lij_Latn,42.5
eng_Latn-lim_Latn,40.1
eng_Latn-lin_Latn,46.9
eng_Latn-lit_Latn,48.7
eng_Latn-lmo_Latn,31.4
eng_Latn-ltg_Latn,40.7
eng_Latn-ltz_Latn,50.6
eng_Latn-lua_Latn,33.7
eng_Latn-lug_Latn,34.8
eng_Latn-luo_Latn,37.1
eng_Latn-lus_Latn,34.6
eng_Latn-lvs_Latn,44.7
eng_Latn-mag_Deva,53.7
eng_Latn-mai_Deva,43
eng_Latn-mal_Mlym,47.2
eng_Latn-mar_Deva,44.6
eng_Latn-min_Latn,47.1
eng_Latn-mkd_Cyrl,55.6
eng_Latn-mlt_Latn,58.1
eng_Latn-mni_Beng,32.8
eng_Latn-mos_Latn,21.1
eng_Latn-mri_Latn,43.5
eng_Latn-mya_Mymr,29.3
eng_Latn-nld_Latn,53.1
eng_Latn-nno_Latn,52
eng_Latn-nob_Latn,56.8
eng_Latn-npi_Deva,49
eng_Latn-nso_Latn,48.9
eng_Latn-nus_Latn,25.3
eng_Latn-nya_Latn,44.1
eng_Latn-oci_Latn,58.2
eng_Latn-ory_Orya,44.9
eng_Latn-pag_Latn,45
eng_Latn-pan_Guru,46.7
eng_Latn-pap_Latn,51
eng_Latn-pbt_Arab,36.9
eng_Latn-pes_Arab,47.4
eng_Latn-plt_Latn,48
eng_Latn-pol_Latn,45.3
eng_Latn-por_Latn,67.4
eng_Latn-prs_Arab,49.8
eng_Latn-quy_Latn,24.1
eng_Latn-ron_Latn,58.2
eng_Latn-run_Latn,39.1
eng_Latn-rus_Cyrl,52.5
eng_Latn-sag_Latn,34.2
eng_Latn-san_Deva,22.1
eng_Latn-sat_Olck,23.7
eng_Latn-scn_Latn,33
eng_Latn-shn_Mymr,28.2
eng_Latn-sin_Sinh,42.4
eng_Latn-slk_Latn,53.4
eng_Latn-slv_Latn,50.5
eng_Latn-smo_Latn,49
eng_Latn-sna_Latn,42.9
eng_Latn-snd_Arab,46.2
eng_Latn-som_Latn,41.5
eng_Latn-sot_Latn,45.6
eng_Latn-spa_Latn,52.6
eng_Latn-srd_Latn,52.3
eng_Latn-srp_Cyrl,53.3
eng_Latn-ssw_Latn,41.6
eng_Latn-sun_Latn,47.1
eng_Latn-swe_Latn,62.7
eng_Latn-swh_Latn,58
eng_Latn-szl_Latn,44.3
eng_Latn-tam_Taml,51.1
eng_Latn-taq_Latn,20.5
eng_Latn-taq_Tfng,14.3
eng_Latn-tat_Cyrl,45.2
eng_Latn-tel_Telu,51.8
eng_Latn-tgk_Cyrl,46.7
eng_Latn-tgl_Latn,56.4
eng_Latn-tha_Thai,36
eng_Latn-tir_Ethi,22.6
eng_Latn-tpi_Latn,41.7
eng_Latn-tsn_Latn,46.7
eng_Latn-tso_Latn,48.9
eng_Latn-tuk_Latn,36.9
eng_Latn-tum_Latn,34.5
eng_Latn-tur_Latn,52.9
eng_Latn-twi_Latn,35.3
eng_Latn-tzm_Tfng,26.7
eng_Latn-uig_Arab,39.3
eng_Latn-ukr_Cyrl,50.5
eng_Latn-umb_Latn,25.9
eng_Latn-urd_Arab,46.6
eng_Latn-uzn_Latn,47.8
eng_Latn-vec_Latn,45.4
